episode:129; total step:85; total_reword:-13.076 loss:0.02500; actual_eps:0.96; ave_Q:-4.996433258056641
episode:130; total step:87; total_reword:-10.981 loss:0.02498; actual_eps:0.96; ave_Q:-5.081140041351318
episode:131; total step:250; total_reword:-74.909 loss:0.02622; actual_eps:0.95; ave_Q:-14.521263122558594
episode:132; total step:83; total_reword:-13.973 loss:0.03731; actual_eps:0.95; ave_Q:-5.33270263671875
episode:133; total step:250; total_reword:-55.287 loss:0.02637; actual_eps:0.95; ave_Q:-14.020221710205078
episode:134; total step:250; total_reword:-27.913 loss:0.02852; actual_eps:0.95; ave_Q:-4.119225025177002
episode:135; total step:96; total_reword:-12.484 loss:0.03100; actual_eps:0.95; ave_Q:-5.139394760131836
episode:136; total step:92; total_reword:-14.557 loss:0.02449; actual_eps:0.95; ave_Q:-7.432347297668457
episode:137; total step:87; total_reword:-15.165 loss:0.03202; actual_eps:0.95; ave_Q:-6.919378280639648
episode:138; total step:250; total_reword:-44.708 loss:0.02206; actual_eps:0.95; ave_Q:-11.287435531616211
episode:139; total step:86; total_reword:-10.601 loss:0.02488; actual_eps:0.95; ave_Q:-4.985860824584961
episode:140; total step:250; total_reword:-81.120 loss:0.02742; actual_eps:0.95; ave_Q:-9.47605037689209
episode:141; total step:90; total_reword:-10.208 loss:0.02757; actual_eps:0.95; ave_Q:-4.512692451477051
episode:142; total step:250; total_reword:-49.904 loss:0.02641; actual_eps:0.95; ave_Q:-12.639565467834473
episode:143; total step:86; total_reword:-13.651 loss:0.02317; actual_eps:0.95; ave_Q:-6.424304962158203
episode:144; total step:86; total_reword:-14.098 loss:0.02517; actual_eps:0.95; ave_Q:-4.331381320953369
episode:145; total step:88; total_reword:-14.472 loss:0.02926; actual_eps:0.95; ave_Q:-5.940005779266357
episode:146; total step:84; total_reword:-10.619 loss:0.02590; actual_eps:0.95; ave_Q:-4.107192516326904
episode:147; total step:87; total_reword:-15.293 loss:0.03391; actual_eps:0.95; ave_Q:-6.124840259552002
episode:148; total step:88; total_reword:-10.085 loss:0.03207; actual_eps:0.95; ave_Q:-3.2911362648010254
episode:149; total step:86; total_reword:-13.606 loss:0.02931; actual_eps:0.95; ave_Q:-5.300548076629639
episode:150; total step:85; total_reword:-13.150 loss:0.02561; actual_eps:0.95; ave_Q:-5.307402610778809
episode:151; total step:211; total_reword:-35.569 loss:0.02810; actual_eps:0.95; ave_Q:-4.3742876052856445
episode:152; total step:250; total_reword:-76.323 loss:0.02978; actual_eps:0.95; ave_Q:-15.547906875610352
episode:153; total step:90; total_reword:-19.433 loss:0.02489; actual_eps:0.95; ave_Q:-8.66026496887207
episode:154; total step:84; total_reword:-10.972 loss:0.02468; actual_eps:0.95; ave_Q:-4.866169452667236
episode:155; total step:85; total_reword:-13.005 loss:0.02189; actual_eps:0.95; ave_Q:-5.763330936431885
episode:156; total step:250; total_reword:-100.480 loss:0.02957; actual_eps:0.95; ave_Q:-15.866806030273438
episode:157; total step:250; total_reword:-34.907 loss:0.02645; actual_eps:0.95; ave_Q:-6.830200672149658
episode:158; total step:85; total_reword:-13.178 loss:0.02053; actual_eps:0.95; ave_Q:-4.902002811431885
episode:159; total step:84; total_reword:-9.713 loss:0.02563; actual_eps:0.95; ave_Q:-4.48813009262085
episode:160; total step:92; total_reword:-9.850 loss:0.02655; actual_eps:0.95; ave_Q:-4.940159320831299
episode:161; total step:85; total_reword:-9.533 loss:0.03219; actual_eps:0.95; ave_Q:-3.7791266441345215
episode:162; total step:91; total_reword:-9.940 loss:0.01841; actual_eps:0.95; ave_Q:-3.3775289058685303
episode:163; total step:88; total_reword:-13.629 loss:0.02749; actual_eps:0.95; ave_Q:-6.424763202667236
episode:164; total step:87; total_reword:-14.844 loss:0.02655; actual_eps:0.95; ave_Q:-5.899500846862793
episode:165; total step:92; total_reword:-13.700 loss:0.02915; actual_eps:0.95; ave_Q:-5.328816890716553
episode:166; total step:86; total_reword:-17.411 loss:0.02931; actual_eps:0.95; ave_Q:-6.997643947601318
episode:167; total step:92; total_reword:-16.045 loss:0.02709; actual_eps:0.95; ave_Q:-6.726419925689697
episode:168; total step:86; total_reword:-16.124 loss:0.02853; actual_eps:0.95; ave_Q:-7.101862907409668
episode:169; total step:85; total_reword:-13.767 loss:0.02973; actual_eps:0.95; ave_Q:-6.023877143859863
episode:170; total step:87; total_reword:-15.225 loss:0.02544; actual_eps:0.95; ave_Q:-4.846989631652832
episode:171; total step:92; total_reword:-10.406 loss:0.02260; actual_eps:0.95; ave_Q:-4.44838285446167
episode:172; total step:250; total_reword:-32.947 loss:0.02964; actual_eps:0.94; ave_Q:-7.702875137329102
episode:173; total step:87; total_reword:-19.425 loss:0.02420; actual_eps:0.94; ave_Q:-8.049018859863281
episode:174; total step:84; total_reword:-8.921 loss:0.02967; actual_eps:0.94; ave_Q:-4.1902289390563965
episode:175; total step:84; total_reword:-12.871 loss:0.02511; actual_eps:0.94; ave_Q:-5.487874507904053
episode:176; total step:250; total_reword:-80.999 loss:0.02469; actual_eps:0.94; ave_Q:-11.148664474487305
episode:177; total step:87; total_reword:-13.530 loss:0.03103; actual_eps:0.94; ave_Q:-6.137449741363525
episode:178; total step:90; total_reword:-12.373 loss:0.02308; actual_eps:0.94; ave_Q:-5.061166763305664
episode:179; total step:250; total_reword:-56.604 loss:0.02893; actual_eps:0.94; ave_Q:-11.735899925231934
episode:180; total step:85; total_reword:-10.853 loss:0.02609; actual_eps:0.94; ave_Q:-4.809988021850586
episode:181; total step:81; total_reword:-7.869 loss:0.03217; actual_eps:0.94; ave_Q:-3.1230127811431885
episode:182; total step:250; total_reword:-55.662 loss:0.02588; actual_eps:0.94; ave_Q:-9.14612102508545
episode:183; total step:206; total_reword:-47.329 loss:0.02886; actual_eps:0.94; ave_Q:-3.178636074066162
episode:184; total step:86; total_reword:-9.129 loss:0.02410; actual_eps:0.94; ave_Q:-4.569687366485596
episode:185; total step:87; total_reword:-10.793 loss:0.03124; actual_eps:0.94; ave_Q:-3.0587754249572754
episode:186; total step:250; total_reword:-58.999 loss:0.03276; actual_eps:0.94; ave_Q:-12.366216659545898
episode:187; total step:86; total_reword:-18.552 loss:0.02616; actual_eps:0.94; ave_Q:-7.473204135894775
episode:188; total step:85; total_reword:-9.728 loss:0.02795; actual_eps:0.94; ave_Q:-4.78172492980957
episode:189; total step:88; total_reword:-19.549 loss:0.02819; actual_eps:0.94; ave_Q:-8.323213577270508
episode:190; total step:250; total_reword:-67.682 loss:0.02985; actual_eps:0.94; ave_Q:-4.417623996734619
episode:191; total step:86; total_reword:-12.243 loss:0.03115; actual_eps:0.94; ave_Q:-4.915887832641602
episode:192; total step:89; total_reword:-7.353 loss:0.03123; actual_eps:0.94; ave_Q:-1.9692363739013672
episode:193; total step:250; total_reword:-27.615 loss:0.02497; actual_eps:0.94; ave_Q:-7.073042869567871
episode:194; total step:89; total_reword:-13.211 loss:0.02367; actual_eps:0.94; ave_Q:-4.836369037628174
episode:195; total step:250; total_reword:-36.672 loss:0.02516; actual_eps:0.94; ave_Q:-8.804365158081055
